破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 9 	 1 	 0.5 	 1 	 25
2 	 15 	 1 	 0.5 	 1 	 31.25
3 	 27 	 1 	 0.5 	 2 	 100
4 	 38 	 1 	 0.5 	 2 	 200
5 	 46 	 1 	 0.5 	 1 	 50
6 	 55 	 1 	 0.5 	 1 	 25
7 	 71 	 1 	 0.5 	 2 	 100
8 	 73 	 1 	 0.5 	 1 	 25
9 	 75 	 1 	 0.5 	 2 	 100
10 	 95 	 1 	 0.5 	 2 	 100
11 	 144 	 1 	 0.5 	 1 	 25
12 	 149 	 1 	 0.5 	 1 	 37.5
13 	 151 	 1 	 0.5 	 2 	 100
14 	 158 	 1 	 0.5 	 2 	 300
15 	 167 	 1 	 0.5 	 1 	 25
16 	 171 	 1 	 0.5 	 2 	 150
17 	 183 	 1 	 0.5 	 2 	 200
18 	 186 	 1 	 0.5 	 1 	 31.25
19 	 193 	 1 	 0.5 	 1 	 37.5
20 	 229 	 1 	 0.5 	 1 	 25
21 	 232 	 1 	 0.5 	 2 	 100
22 	 233 	 1 	 0.5 	 2 	 100
23 	 236 	 1 	 0.5 	 2 	 100
24 	 239 	 1 	 0.5 	 1 	 25
25 	 245 	 1 	 0.5 	 1 	 25
26 	 251 	 1 	 0.5 	 2 	 100
27 	 269 	 1 	 0.5 	 2 	 100
28 	 273 	 1 	 0.5 	 2 	 100
29 	 285 	 1 	 0.5 	 1 	 25
30 	 306 	 1 	 0.5 	 1 	 50
