破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 3 	 1 	 0.5 	 1 	 25
2 	 4 	 1 	 0.5 	 2 	 100
3 	 5 	 1 	 0.5 	 1 	 25
4 	 6 	 1 	 0.5 	 1 	 25
5 	 9 	 1 	 0.5 	 1 	 25
6 	 12 	 1 	 0.5 	 2 	 100
7 	 13 	 1 	 0.5 	 2 	 100
8 	 14 	 1 	 0.5 	 2 	 125
9 	 15 	 1 	 0.5 	 2 	 125
10 	 16 	 1 	 0.5 	 1 	 25
11 	 18 	 1 	 0.5 	 1 	 25
12 	 20 	 1 	 0.5 	 1 	 50
13 	 21 	 1 	 0.5 	 1 	 50
14 	 23 	 1 	 0.5 	 1 	 31.25
15 	 24 	 1 	 0.5 	 2 	 100
16 	 26 	 1 	 0.5 	 1 	 25
17 	 35 	 1 	 0.5 	 1 	 50
18 	 38 	 1 	 0.5 	 1 	 50
19 	 48 	 1 	 0.5 	 1 	 37.5
20 	 54 	 1 	 0.5 	 2 	 100
21 	 56 	 1 	 0.5 	 1 	 25
22 	 61 	 1 	 0.5 	 2 	 150
23 	 66 	 1 	 0.5 	 1 	 50
24 	 68 	 1 	 0.5 	 2 	 200
25 	 71 	 1 	 0.5 	 1 	 25
26 	 73 	 1 	 0.5 	 2 	 100
27 	 75 	 1 	 0.5 	 1 	 25
28 	 76 	 1 	 0.5 	 1 	 25
29 	 77 	 1 	 0.5 	 1 	 25
30 	 78 	 1 	 0.5 	 2 	 100
31 	 80 	 1 	 0.5 	 2 	 100
32 	 81 	 1 	 0.5 	 1 	 25
33 	 82 	 1 	 0.5 	 2 	 100
34 	 83 	 1 	 0.5 	 1 	 25
35 	 84 	 1 	 0.5 	 1 	 25
36 	 87 	 1 	 0.5 	 2 	 100
37 	 88 	 1 	 0.5 	 1 	 25
38 	 89 	 1 	 0.5 	 1 	 25
39 	 90 	 1 	 0.5 	 1 	 25
40 	 91 	 1 	 0.5 	 2 	 100
41 	 94 	 1 	 0.5 	 1 	 25
