破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1	55	1	0.4234	1	55.2087
2	99	1	0.45011	1	49.3802
3	174	1	0.13222	1	49.3802
4	133	1	0.32387	1	143.3042
5	294	1	0.96675	1	49.3802
6	244	1	0.12633	1	55.2087
7	281	1	0.96378	1	55.2087
8	32	1	0.62168	1	55.2087
9	40	1	0.28862	1	55.2087
10	22	1	0.5	1	55.2087
11	261	1	0.5	1	55.2087
12	194	1	0.5	1	55.2087
13	175	1	0.5	1	55.2087
14	4	1	0.5	1	55.2087
15	152	1	0.5	1	55.2087
16	92	1	0.5	1	55.2087
17	301	1	0.5	1	55.2087
18	170	1	0.5	1	55.2087
19	27	1	0.5	1	55.2087
20	304	1	0.5	1	55.2087
21	223	1	0.5	1	55.2087
22	146	1	0.5	1	55.2087
23	119	1	0.5	1	55.2087
24	190	1	0.5	1	55.2087
25	309	1	0.5	1	55.2087
26	211	1	0.5	1	55.2087
27	288	1	0.5	1	55.2087
28	241	1	0.5	1	55.2087
29	165	1	0.5	1	55.2087
30	283	1	0.5	1	55.2087
