破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 28 	 1 	 0.5 	 2 	 100
2 	 29 	 1 	 0.5 	 2 	 100
3 	 49 	 1 	 0.5 	 1 	 37.5
4 	 55 	 1 	 0.5 	 1 	 25
5 	 56 	 1 	 0.5 	 2 	 100
6 	 70 	 1 	 0.5 	 1 	 25
7 	 71 	 1 	 0.5 	 1 	 25
8 	 76 	 1 	 0.5 	 1 	 25
9 	 80 	 1 	 0.5 	 1 	 25
10 	 86 	 1 	 0.5 	 1 	 25
11 	 89 	 1 	 0.5 	 1 	 25
12 	 94 	 1 	 0.5 	 1 	 25
13 	 103 	 1 	 0.5 	 1 	 37.5
14 	 138 	 1 	 0.5 	 1 	 50
15 	 143 	 1 	 0.5 	 1 	 37.5
16 	 165 	 1 	 0.5 	 1 	 37.5
17 	 166 	 1 	 0.5 	 1 	 37.5
18 	 196 	 1 	 0.5 	 1 	 37.5
19 	 203 	 1 	 0.5 	 1 	 25
20 	 214 	 1 	 0.5 	 1 	 25
21 	 219 	 1 	 0.5 	 1 	 37.5
22 	 235 	 1 	 0.5 	 1 	 25
23 	 247 	 1 	 0.5 	 1 	 25
24 	 259 	 1 	 0.5 	 2 	 100
25 	 264 	 1 	 0.5 	 1 	 25
26 	 273 	 1 	 0.5 	 1 	 25
27 	 282 	 1 	 0.5 	 1 	 25
28 	 283 	 1 	 0.5 	 1 	 25
29 	 292 	 1 	 0.5 	 2 	 350
30 	 293 	 1 	 0.5 	 1 	 25
