破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 22 	 1 	 0.5 	 1 	 50
2 	 36 	 1 	 0.5 	 1 	 50
3 	 51 	 1 	 0.5 	 1 	 37.5
4 	 98 	 1 	 0.5 	 2 	 100
5 	 102 	 1 	 0.5 	 2 	 150
6 	 119 	 1 	 0.5 	 2 	 100
7 	 120 	 1 	 0.5 	 1 	 25
8 	 124 	 1 	 0.5 	 2 	 100
9 	 126 	 1 	 0.5 	 1 	 31.25
10 	 138 	 1 	 0.5 	 1 	 50
11 	 140 	 1 	 0.5 	 1 	 50
12 	 182 	 1 	 0.5 	 1 	 25
13 	 186 	 1 	 0.5 	 2 	 125
14 	 189 	 1 	 0.5 	 2 	 100
15 	 191 	 1 	 0.5 	 1 	 37.5
16 	 199 	 1 	 0.5 	 1 	 25
17 	 200 	 1 	 0.5 	 2 	 100
18 	 202 	 1 	 0.5 	 2 	 100
19 	 208 	 1 	 0.5 	 1 	 31.25
20 	 210 	 1 	 0.5 	 2 	 100
21 	 214 	 1 	 0.5 	 2 	 100
22 	 221 	 1 	 0.5 	 1 	 37.5
23 	 225 	 1 	 0.5 	 1 	 31.25
24 	 244 	 1 	 0.5 	 1 	 25
25 	 254 	 1 	 0.5 	 1 	 25
26 	 264 	 1 	 0.5 	 1 	 25
27 	 266 	 1 	 0.5 	 1 	 25
28 	 268 	 1 	 0.5 	 1 	 25
29 	 282 	 1 	 0.5 	 1 	 25
30 	 285 	 1 	 0.5 	 1 	 25
31 	 290 	 1 	 0.5 	 1 	 87.5
32 	 311 	 1 	 0.5 	 1 	 25
